source_id,course,provider,homepage,video_home,license,notes
cs50_2020,CS50 2020,Harvard CS50,https://cs50.harvard.edu/x/2020/,https://www.youtube.com/@cs50,CC BY-NC-SA,Multi-session public course with captions on YouTube
mit_ocw_6_0001,MIT 6.0001 OCW,MIT OpenCourseWare,https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/,https://ocw.mit.edu/,CC BY-NC-SA,Intro Python course with transcripts/captions
stanford_algorithms,Algorithms,Stanford Online,https://www.youtube.com/playlist?list=PLoROMvodv4rOFZnDyrlW3-nI7tMLtmiJZ,https://www.youtube.com/@stanfordonline,Varies,Playlist of lectures with captions
